URL,Year,,Title,LGA,State,file number,filename
https://www.alpineshire.vic.gov.au/sites/default/files/resources/ASC%20Climate%20Action%20Plan.pdf,2021,2024,CLIMATE ACTION PLAN 2021-2024,Alpine Shire,VIC,119,Alpine-2021-climate-action-plan.pdf
https://www.alpineshire.vic.gov.au/sites/default/files/resources/ASC%20Climate%20Action%20Position%20Statement.pdf,2021,2024,CLIMATE ACTION POSITION STATEMENT 2021-2024,Alpine Shire,VIC,120,Alpine-2021-climate-action-position-statement.pdf
https://www.ballarat.vic.gov.au/sites/default/files/2022-10/City%20of%20Ballarat%20Net%20Zero%20Emissions%20Plan.pdf,2022,,Net Zero Emissions Plan,Ballarat City Council,VIC,,Ballarat-2022-Net-Zero-Emissions-Plan.pdf
https://www.banyule.vic.gov.au/files/assets/public/_operating-images-amp-docs/documents/corporate-emissions-reduction-plan.pdf,2020,2023,Actions for zero net emissions,Banyule City,VIC,164,Banyule-2023-Actions-for-Net-Zero-Emissions.pdf
https://d2n3eh1td3vwdm.cloudfront.net/general-downloads/Sustainable-Environment/Climate-Change/Climate-Change-Action-Plan-2020-2030.pdf,2020,2030,Climate Change Action Plan,Bass Coast Shire,VIC,124,BassCoast-2021-Climate-Change-Action-Plan.pdf
https://www.bayside.vic.gov.au/sites/default/files/2023-01/Climate%20Emergency%20Action%20Plan%202020%20-%202025%20%28Web%20Version%29.PDF,2020,,Climate Emergency Action Plan,Bayside City Council,VIC,,Bayside-Climate-Emergency-Action-Plan.pdf
https://www.benalla.vic.gov.au/Your-Council/Council-Documents/Other-Plans-Strategies/Environment-Strategy,2016,2020,Environment Strategy,Benalla Rural City,VIC,,Benalla-Environment_Strategy_2016_20.pdf
https://www.boroondara.vic.gov.au/media/92601/download?inline,2023,2025,Climate Action Plan Implementation Plan,Boroondara City Council,VIC,,Boroondara-Climate-Action-Plan-Implementation_plan.pdf
https://www.boroondara.vic.gov.au/media/68791/download?inline,2020,2025,Climate Action Plan,Boroondara City Council,VIC,,Boroondara-Climate-Action-Plan.pdf
https://www.boroondara.vic.gov.au/media/68856/download?inline,2020,2021,Community Research Report,Boroondara City Council,VIC,,Boroondara-Community-Research-Report.pdf
https://serviceapi.brimbank.vic.gov.au:7064/CMServiceAPI/Record/2560534/file/document,2023,,Climate Change Adaptation Framework,Brimbank City Council,VIC,,Brimbank-Climate-Change-Adaptation-Framework.pdf
https://serviceapi.brimbank.vic.gov.au:7064/CMServiceAPI/Record/6636419/file/document,2022,2023,Climate Emergency Report Card,Brimbank City Council,VIC,,Brimbank-Climate-Emergency-Plan-Report-Card-2022-23.pdf
https://serviceapi.brimbank.vic.gov.au:7064/CMServiceAPI/Record/4307489/file/document,2020,2025,Climate Emergency Plan,Brimbank City Council,VIC,,Brimbank-Climate-Emergency-Plan.pdf
https://www.buloke.vic.gov.au/ArticleDocuments/1213/Buloke%20Shire%20Climate%20Action%20Plan.pdf.aspx,2021,,Buloke Shire Climate Action Plan,Buloke Shire,VIC,167,Buloke-2021-climate-action-plan.pdf
https://www.campaspe.vic.gov.au/files/assets/public/v/1/strategies-and-plans/environment-strategy-2022-2026.pdf,2022,2026,Environment Strategy 2022-26q,Campaspe Shire,VIC,,Campaspe-2022-Environment-strategy-2022-2026.pdf
https://www.cardinia.vic.gov.au/downloads/download/286/aspirational_energy_transition_plan_2014%E2%80%9324_-_cardinia_shire_council,2014,2024,Aspirational Energy Transition Plan,Cardinia Shire Council,VIC,,Cardinia-Aspirational_Energy_Transition_Plan_2014_24.pdf
https://www.cardinia.vic.gov.au/downloads/download/2682/climate_change_adaptation_strategy_2022-33,2022,2023,Climate Change Adaptation Strategy Action Plan,Cardinia Shire Council,VIC,,Cardinia-Climate_Change_Adaptation_Strategy___Action_plan.pdf
https://www.cardinia.vic.gov.au/downloads/download/2682/climate_change_adaptation_strategy_2022-33,2022,2023,Climate Change Adaptation Strategy,Cardinia Shire Council,VIC,,Cardinia-Climate_Change_Adaptation_Strategy_2022_2023.pdf
https://www.casey.vic.gov.au/policies-strategies/climate-action-plan-2022-30,2022,2030,Climate Action Plan 2022-30,Casey City,VIC,,Casey-Climate-Action-Plan-2022-2030.pdf
https://www.centralgoldfields.vic.gov.au/Council/Policies-Plans-Strategies-and-Documents/Council-Plans/Climate-Action-Plan-2022-2030,2022,2030,Climate Action Plan,Central Goldfields Shire Council,VIC,,CentralGoldfields-Climate-Action-Plan-2022-30-updated.pdf
https://www.colacotway.vic.gov.au/Community-Consultations/Draft-Environmental-Sustainability-Strategy-and-Draft-Climate-Change-Action-Plan,2023,2033,Draft Climate Change Action Plan,Colac Otway Shire Council,VIC,,ColacOtway-Shire-Council-Climate-Change-Action-Plan-Draft-20230526.pdf
https://www.corangamite.vic.gov.au/Council/Publications/Plans-Strategies-A-Z/Environment-Sustainability-Strategy,2014,2019,Environment & Sustainability Strategy,Corangamite Shire Council,VIC,,Corangamite-Shire-Environment-2019.pdf
,2018,,Climate Emergency Plan,Darebin,VIC,,Darebin-2018-ClimateEmergencyPlan.pdf
https://www.darebin.vic.gov.au/Waste-environment-and-climate/Climate-and-sustainability/Darebins-climate-action/Climate-emergency-declaration-and-plan,2024,2030,Draft Climate Emergency Plan,Darebin,VIC,,Darebin-Draft_Climate_Emergency_Plan_2024-2030.pdf
https://assets-global.website-files.com/5f10ce18aa01d050c26b7c5e/62bc04ffacfdfa6cab3fa9b9_Environmental_Sustainbility_Strategy_EGSC_final_compressed%20(1).pdf,2022,2032,Environmental Sustainability Strategy,East Gippsland Shire Council,VIC,,EastGippsland-Environmental_Sustainbility_Strategy_EGSC_final_compressed.pdf
https://www.frankston.vic.gov.au/files/assets/public/environment-and-waste/environment/pdfs/towards_zero_emissions_plan_a4_booklet_for_web_2019.pdf,2019,2023,Towards Zero Emissions Plan,Frankston City,VIC,130,Frankston-2019-zero-emissions-plan.pdf
https://www.gannawarra.vic.gov.au/files/assets/public/document-resources/council-policies/146-climate-change.pdf,2021,,Climate Change Policy,Gannawarra Shire,VIC,170,Gannawarra-2021-climate-policy.pdf
https://www.gleneira.vic.gov.au/about-council/strategies-and-plans/strategic-direction-4,2021,2025,Our Climate Emergency Response Strategy,Glen Eira City Council,VIC,,GlenEira-our-climate-emergency-response-strategy-2021-2025.pdf
https://www.glenelg.vic.gov.au/files/assets/public/our-services/planning-and-building/planning-documents/current-amendments-and-projects/strategic-team-docs-for-reference/gsc_environment_strategy_2010_2020.pdf,2010,2020,ENVIRONMENT STRATEGY,Glenelg Shire,VIC,171,Glenelg-2010-environment-strategy.pdf
https://www.goldenplains.vic.gov.au/news/adopted-climate-emergency-plan,2022,2032,Climate Emergency Plan,Golden Plains Shire Council,VIC,,GoldenPlains-Climate-Emergency-Plan-2022-2032.pdf
https://www.bendigo.vic.gov.au/sites/default/files/2021-10/Climate%20Change%20and%20Environment%20Strategy%202021-26.pdf,2021,2026,Climate Change & Environment Strategy,Greater Bendigo City,VIC,172,GreaterBendigo-2021-climate-environment-strategy.pdf
https://www.greaterdandenong.vic.gov.au/climate-emergency-strategy-and-action-plan-2020-30,2020,2030,Climate Emergency Action Plan,Greater Dandenong City Council,VIC,,GreaterDandenong-Climate-Emergency-Action-Plan.pdf
https://www.greaterdandenong.vic.gov.au/climate-emergency-strategy-and-action-plan-2020-30,2020,2030,Climate Emergency Strategy,Greater Dandenong City Council,VIC,,GreaterDandenong-Climate-Emergency-Strategy-2020.pdf
https://www.geelongaustralia.com.au/sustainability/documents/item/8d9b3d6e2bec4ce.aspx,2021,2030,Climate Change Response Plan,Greater Geelong City Council,VIC,,GreaterGeelong-climatechangeresponseplanfinal.pdf
https://www.hepburn.vic.gov.au/Residents/Sustainable-Hepburn/Climate-change-Council,2022,2026,Sustainable Hepburn Strategy,Hepburn Shire Council,VIC,,Hepburn-sustainable-hepburn-202226_strategy.pdf
https://www.hepburn.vic.gov.au/Residents/Sustainable-Hepburn/Climate-change-Council,2017,2021,Towards Zero Emissions Roadmap,Hepburn Shire Council,VIC,,Hepburn-toward-zero-emissions-road-map.pdf
https://www.hindmarsh.vic.gov.au/files/assets/public/council/council-resources/policies-and-procedures/climate-change-adaptation-strategy-2012.pdf,2012,,Climate Change Adaptation,Hindmarsh Shire,VIC,173,Hindmarsh-2012-climate-adaptation.pdf
